,Date,USD/CHF,USD/BGN,USD/BRL,USD/CAD,USD/CZK,USD/DKK,USD/HKD,USD/HRK,USD/HUF,USD/NOK,USD/SEK,USD/PLN,USD/SGN,USD/JPY,USD/ILS,USD/ZAR,USD/IDR,USD/RON,USD/KRW
0,2021-05-14,0.9013,1.61035,5.27315,1.2104,20.954,6.12265,7.76775,6.18815,292.33,8.2289,8.3356,3.73205,1.33255,109.355,3.27465,14.1183,14197.5,4.05495,1126.49
1,2021-05-14,0.9013,1.61035,5.27315,1.2104,20.954,6.12265,7.76775,6.18815,292.33,8.2289,8.3356,3.73205,1.33255,109.355,3.27465,14.1183,14197.5,4.05495,1126.49
2,2021-05-13,0.9061,1.6193,5.31,1.2162,21.106,6.1558,7.76805,6.23155,295.47,8.3557,8.4011,3.748,1.33345,109.465,3.2882,14.115,14197.5,4.07945,1126.905
3,2021-05-12,0.9093,1.6203,5.30695,1.2133,21.214,6.1588,7.76595,6.23625,296.17,8.3393,8.43035,3.7733,1.33375,109.665,3.2885,14.1213,14197.5,4.08255,1132.905
4,2021-05-11,0.90375,1.60995,5.22165,1.21025,21.003,6.1205,7.76845,6.19505,295.2,8.2618,8.32,3.74715,1.32555,108.615,3.2903,14.0018,14197.5,4.05605,1119.755
5,2021-05-10,0.9013,1.6124,5.22825,1.2099,21.08,6.13075,7.76545,6.21695,294.99,8.2716,8.3426,3.75995,1.32575,108.795,3.2605,14.0465,14197.5,4.062,1116.855
6,2021-05-07,0.90115,1.6082,5.2383,1.2132,21.0725,6.11365,7.76615,6.19355,294.8,8.221,8.3084,3.74295,1.32495,108.615,3.2521,14.0593,14285.0,4.0503,1113.01
7,2021-05-06,0.9072,1.621,5.2763,1.215,21.32,6.1626,7.76825,6.2438,297.04,8.3003,8.425,3.78815,1.33345,109.095,3.25825,14.2476,14319.0,4.0831,1120.455
8,2021-05-05,0.913,1.62895,5.35495,1.2266,21.485,6.1944,7.76935,6.27365,298.99,8.3531,8.48665,3.80855,1.33535,109.195,3.26675,14.3692,14435.0,4.10345,1124.895
9,2021-05-04,0.9137,1.6273,5.44455,1.231,21.509,6.1897,7.76815,6.2775,299.99,8.3354,8.4827,3.79405,1.3363,109.345,3.2629,14.46355,14430.0,4.10225,1125.945
10,2021-05-03,0.9111,1.6273,5.4436,1.2278,21.377,6.164,7.76655,6.25445,298.055,8.2808,8.415,3.76855,1.32955,109.075,3.2502,14.3988,14450.0,4.08555,1120.5
11,2021-04-30,0.9135,1.6273,5.43685,1.2291,21.5255,6.1859,7.76745,6.279,299.6,8.3162,8.4687,3.7929,1.33035,109.285,3.24665,14.5013,14445.0,4.09775,1117.755
12,2021-04-29,0.9085,1.6137,5.3378,1.2281,21.3335,6.1354,7.76325,6.23305,297.31,8.1994,8.372,3.7692,1.32655,108.925,3.24905,14.3083,14450.0,4.065,1107.805
13,2021-04-28,0.9096,1.61305,5.34325,1.2314,21.3565,6.1317,7.76325,6.23595,298.55,8.1837,8.3392,3.7754,1.3252,108.605,3.2507,14.235,14500.0,4.0641,1110.055
14,2021-04-27,0.91345,1.6175,5.44975,1.2395,21.432,6.1503,7.76185,6.24905,299.905,8.2731,8.3758,3.7804,1.32625,108.695,3.2406,14.37135,14485.0,4.07655,1113.505
15,2021-04-26,0.91405,1.6183,5.4367,1.2397,21.3965,6.1533,7.76025,6.26305,300.82,8.2941,8.3798,3.7713,1.32535,108.095,3.23795,14.2797,14485.0,4.07375,1110.435
16,2021-04-23,0.9136,1.61675,5.47635,1.2476,21.343,6.1481,7.75945,6.2582,300.42,8.3053,8.3791,3.7668,1.32675,107.925,3.2565,14.2813,14525.0,4.0682,1115.075
17,2021-04-22,0.91675,1.6277,5.4451,1.2506,21.505,6.18855,7.75995,6.30235,302.9,8.365,8.4629,3.79805,1.32935,107.965,3.25875,14.305,14520.0,4.1001,1120.175
18,2021-04-21,0.9171,1.6251,5.5695,1.2498,21.485,6.1789,7.76425,6.29485,301.075,8.3387,8.41555,3.7849,1.32905,108.065,3.2667,14.2483,14530.0,4.0929,1116.7
19,2021-04-20,0.91595,1.6249,5.5697,1.2609,21.54,6.178,7.7613,6.29375,300.23,8.3575,8.434,3.7817,1.32905,108.095,3.25005,14.3064,14497.5,4.09445,1117.455
20,2021-04-19,0.91515,1.6249,5.547,1.2534,21.5455,6.17835,7.76575,6.29125,300.01,8.2929,8.3995,3.78275,1.33105,108.165,3.2599,14.2219,14547.5,4.09215,1115.505
21,2021-04-16,0.92015,1.63225,5.5888,1.2506,21.6265,6.2062,7.77135,6.31635,301.59,8.371,8.43525,3.79115,1.33445,108.785,3.2795,14.3133,14565.0,4.11095,1116.65
22,2021-04-15,0.9228,1.6344,5.61645,1.2543,21.658,6.215,7.76745,6.31975,300.225,8.3795,8.4512,3.80345,1.33455,108.755,3.2807,14.1634,14610.0,4.11675,1116.855
